Rk,Player,Tm,Sal2122,Sal2223,Signed Using,Guaranteed
1,Stephen Curry,GSW,"$45,780,966 ","$48,070,014 ",Bird Rights,"$261,134,628 "
2,John Wall,HOU,"$44,310,840 ","$40,866,760 ",Bird Rights,"$85,177,600 "
3,Russell Westbrook,LAL,"$44,211,146 ","$47,063,478 ",Bird Rights,"$91,274,624 "
4,LeBron James,LAL,"$41,180,544 ","$44,474,988 ",Bird,"$85,655,532 "
5,Kevin Durant,BRK,"$40,918,900 ","$44,119,845 ",Sign and Trade,"$234,584,808 "
6,Giannis Antetokounmpo,MIL,"$39,344,970 ","$42,492,568 ",Bird,"$176,265,466 "
7,Paul George,LAC,"$39,344,970 ","$42,492,568 ",Bird,"$127,477,703 "
8,Damian Lillard,POR,"$39,344,900 ","$42,492,492 ",1st Round Pick,"$176,265,152 "
9,Kawhi Leonard,LAC,"$39,344,900 ","$42,492,492 ",Early Bird,"$127,477,476 "
10,Klay Thompson,GSW,"$37,980,720 ","$40,600,080 ",Bird Rights,"$121,800,240 "
11,Jimmy Butler,MIA,"$36,016,200 ","$37,653,300 ",Sign and Trade,"$167,652,137 "
12,Tobias Harris,PHI,"$35,995,950 ","$37,633,050 ",Bird Rights,"$112,899,150 "
13,Khris Middleton,MIL,"$35,500,000 ","$37,948,276 ",Bird Rights,"$73,448,276 "
14,Anthony Davis,LAL,"$35,361,360 ","$37,980,720 ",Bird,"$113,942,160 "
15,Rudy Gobert,UTA,"$35,344,828 ","$38,172,414 ",Bird,"$35,344,828 "
16,Kyrie Irving,BRK,"$34,916,200 ","$36,503,300 ",Cap space,"$71,419,500 "
17,Bradley Beal,WAS,"$33,724,200 ","$43,279,250 ",Cap Space,"$227,615,240 "
18,Ben Simmons,BRK,"$33,003,936 ","$35,448,672 ",1st Round pick,"$146,684,160 "
19,Pascal Siakam,TOR,"$33,003,936 ","$35,448,672 ",1st Round pick,"$106,346,016 "
20,Devin Booker,PHO,"$31,650,600 ","$33,833,400 ",1st round pick,"$325,724,200 "
21,Karl-Anthony Towns,MIN,"$31,650,600 ","$33,833,400 ",1st Round Pick,"$101,500,200 "
22,Kristaps Porziņģis,WAS,"$31,650,600 ","$33,833,400 ",Bird Rights,"$65,484,000 "
23,Joel Embiid,PHI,"$31,579,390 ","$33,616,770 ",1st Round Pick,"$206,889,460 "
24,Andrew Wiggins,GSW,"$31,579,390 ","$33,616,770 ",1st Round Pick,"$65,196,160 "
25,Kevin Love,CLE,"$31,258,256 ","$28,942,830 ",Bird Rights,"$60,201,086 "
26,CJ McCollum,NOP,"$30,864,198 ","$33,333,333 ",1st Round Pick,"$100,000,000 "
27,Chris Paul,PHO,"$30,800,000 ","$28,400,000 ",Bird,"$75,000,000 "
28,Nikola Jokić,DEN,"$30,510,423 ","$32,478,837 ",Bird Rights,"$62,989,260 "
29,Jrue Holiday,MIL,"$30,133,333 ","$32,393,333 ",Bird,"$97,179,999 "
30,D'Angelo Russell,MIN,"$30,013,500 ","$31,377,750 ",Sign and Trade,"$61,391,250 "
31,Gordon Hayward,CHO,"$29,925,000 ","$30,075,000 ",Sign and Trade,"$91,500,000 "
32,Blake Griffin,DET,"$32,405,817 ",,,"$29,764,126 "
33,Brandon Ingram,NOP,"$29,467,800 ","$31,650,600 ",Bird,"$130,968,000 "
34,Jamal Murray,DEN,"$29,467,800 ","$31,650,600 ",1st Round pick,"$130,968,000 "
35,Bam Adebayo,MIA,"$28,103,550 ","$30,351,834 ",Bird,"$163,000,590 "
36,Jayson Tatum,BOS,"$28,103,550 ","$30,351,834 ",Bird,"$125,903,904 "
37,De'Aaron Fox,SAC,"$28,103,500 ","$30,351,780 ",Bird,"$163,000,300 "
38,Donovan Mitchell,UTA,"$28,103,500 ","$30,351,780 ",Bird,"$125,903,680 "
39,Al Horford,BOS,"$27,000,000 ","$26,500,000 ",Cap Space,"$41,500,000 "
40,Kyle Lowry,MIA,"$26,984,128 ","$28,333,334 ",Bird,"$85,000,002 "
41,Kemba Walker,OKC,"$8,729,020 ","$9,165,471 ",,"$53,669,500 "
42,DeMar DeRozan,CHI,"$26,000,000 ","$27,300,000 ",Sign and Trade,"$81,900,000 "
43,Jaylen Brown,BOS,"$24,830,357 ","$26,669,643 ",1st Round pick,"$80,008,929 "
44,Draymond Green,GSW,"$24,026,712 ","$25,806,469 ",Bird Rights,"$49,833,181 "
45,Nikola Vučević,CHI,"$24,000,000 ","$22,000,000 ",Bird Rights,"$46,000,000 "
46,John Collins,ATL,"$23,000,000 ","$23,500,000 ",Bird,"$125,000,000 "
47,Buddy Hield,IND,"$22,477,273 ","$20,522,727 ",1st Round pick,"$61,568,182 "
48,Malcolm Brogdon,IND,"$21,700,000 ","$22,600,000 ",Sign and Trade,"$89,300,000 "
49,Tim Hardaway Jr.,DAL,"$21,306,816 ","$19,602,273 ",Bird,"$75,000,000 "
50,Mike Conley,UTA,"$21,000,000 ","$22,680,000 ",Bird,"$58,000,000 "
51,Gary Harris,ORL,"$20,482,143 ",,1st Round Pick,"$20,482,143 "
52,Danilo Gallinari,ATL,"$20,475,000 ","$21,450,000 ",Sign and Trade,"$20,475,000 "
53,Harrison Barnes,SAC,"$20,284,091 ","$18,352,273 ",Bird Rights,"$38,636,364 "
54,Jerami Grant,DET,"$20,002,500 ","$20,955,000 ",Sign and Trade,"$20,002,500 "
55,Jarrett Allen,CLE,"$20,000,000 ","$20,000,000 ",Bird,"$100,000,000 "
56,Julius Randle,NYK,"$19,800,000 ","$23,760,000 ",Cap Space,"$96,782,400 "
57,Fred VanVleet,TOR,"$19,675,926 ","$21,250,000 ",Bird,"$40,925,926 "
58,Zach LaVine,CHI,"$19,500,000 ",,Cap space,"$19,500,000 "
59,Goran Dragić,SAS,"$19,348,907 ",,,"$18,620,165 "
60,Lonzo Ball,CHI,"$18,604,651 ","$19,534,884 ",Sign and Trade,"$58,604,652 "
61,Bojan Bogdanović,UTA,"$18,502,000 ","$19,343,000 ",Cap Space,"$37,845,000 "
62,Domantas Sabonis,SAC,"$18,500,000 ","$18,500,000 ",1st Round pick,"$56,400,000 "
63,Eric Gordon,HOU,"$18,218,818 ","$19,568,360 ",Cap Space,"$37,787,178 "
64,Eric Bledsoe,POR,"$18,125,000 ","$3,900,000 ",Bird Rights,"$22,025,000 "
65,Bogdan Bogdanović,ATL,"$18,000,000 ","$18,000,000 ",Cap Space,"$36,000,000 "
66,Terry Rozier,CHO,"$17,905,263 ","$21,486,316 ",Sign and Trade,"$114,163,957 "
67,Ricky Rubio,IND,"$17,800,000 ",,Cap Space,"$17,800,000 "
68,Caris LeVert,CLE,"$17,500,000 ","$18,796,296 ",1st Round pick,"$36,296,296 "
69,Myles Turner,IND,"$17,500,000 ","$17,500,000 ",1st Round pick,"$35,000,000 "
70,Jonathan Isaac,ORL,"$17,400,000 ","$17,400,000 ",Bird,"$40,800,000 "
71,Joe Harris,BRK,"$17,357,143 ","$18,642,857 ",Bird,"$55,928,571 "
72,Evan Fournier,NYK,"$17,142,857 ","$18,000,000 ",Sign and Trade,"$73,000,000 "
73,Spencer Dinwiddie,DAL,"$17,142,857 ","$18,000,000 ",Sign and Trade,"$45,142,857 "
74,Clint Capela,ATL,"$17,103,448 ","$18,206,897 ",Bird Rights,"$78,191,625 "
75,Steven Adams,MEM,"$17,073,171 ","$17,926,829 ",1st Round Pick,"$35,000,000 "
76,Markelle Fultz,ORL,"$16,500,000 ","$16,500,000 ",Bird,"$35,000,000 "
77,Aaron Gordon,DEN,"$16,409,091 ","$19,690,909 ",Bird Rights,"$80,207,637 "
78,OG Anunoby,TOR,"$16,071,429 ","$17,357,143 ",Bird,"$52,071,429 "
79,Dāvis Bertāns,DAL,"$16,000,000 ","$16,000,000 ",Bird,"$60,000,000 "
80,Gary Trent Jr.,TOR,"$16,000,000 ","$17,280,000 ",Bird,"$33,280,000 "
81,Lauri Markkanen,CLE,"$15,690,909 ","$16,475,454 ",Sign and Trade,"$55,426,362 "
82,Marcus Morris,LAC,"$15,627,907 ","$16,372,093 ",Non Bird,"$49,116,279 "
83,Will Barton,DEN,"$15,625,000 ","$14,375,000 ",Bird,"$15,625,000 "
84,Duncan Robinson,MIA,"$15,560,000 ","$16,902,000 ",Bird,"$79,910,000 "
85,Norman Powell,LAC,"$15,517,242 ","$16,758,621 ",Bird,"$90,000,000 "
86,Dejounte Murray,SAS,"$15,428,880 ","$16,571,120 ",1st Round pick,"$15,428,880 "
