Player,Tm,PER,OWS,DWS
Precious Achiuwa,TOR,12.7,0.4,2.1
Steven Adams,MEM,17.6,3.8,3
Bam Adebayo,MIA,21.8,3.6,3.5
Santi Aldama,MEM,10.2,-0.1,0.4
LaMarcus Aldridge,BRK,19.6,2.1,1
Nickeil Alexander-Walker,TOT,10.5,-1.1,1.1
Nickeil Alexander-Walker,NOP,10.5,-1.1,0.9
Nickeil Alexander-Walker,UTA,10.2,0,0.2
Grayson Allen,MIL,12.7,2.8,1.4
Jarrett Allen,CLE,23,5.4,3
Jose Alvarado,NOP,16.4,1,1.1
Justin Anderson,TOT,10.4,0.2,0.2
Justin Anderson,CLE,10.7,0.1,0
Justin Anderson,IND,10.3,0.1,0.1
Kyle Anderson,MEM,14.4,1,2.5
Giannis Antetokounmpo,MIL,32.1,9.2,3.7
Thanasis Antetokounmpo,MIL,12.5,0.4,0.5
Carmelo Anthony,LAL,14.8,2.2,1.4
Cole Anthony,ORL,13.5,-0.1,1.7
OG Anunoby,TOR,14.8,1.8,1.9
Ryan Arcidiacono,NYK,6.1,0,0.1
Trevor Ariza,LAL,7,-0.2,0.4
D.J. Augustin,TOT,9.7,0.7,0.1
D.J. Augustin,HOU,9.7,0.2,0
D.J. Augustin,LAL,9.7,0.5,0.1
Deni Avdija,WAS,11.6,0.6,1.8
Joel Ayayi,WAS,3.4,0,0
Deandre Ayton,PHO,21.9,4.1,3.1
Udoka Azubuike,UTA,17.6,0.3,0.3
Marvin Bagley III,TOT,15.7,1.2,0.9
Marvin Bagley III,SAC,14.3,0.5,0.4
Marvin Bagley III,DET,17.7,0.7,0.4
LaMelo Ball,CHO,19.7,3.4,2.5
Lonzo Ball,CHI,14.5,0.8,1.4
Mo Bamba,ORL,16.5,1.8,2.7
Desmond Bane,MEM,17.6,4.5,2.7
Dalano Banton,TOR,10,-0.4,0.8
Cat Barber,ATL,-11.2,-0.1,0
Harrison Barnes,SAC,15.7,5,1
Scottie Barnes,TOR,16.3,3.7,2.9
RJ Barrett,NYK,13.7,0.1,2.2
Will Barton,DEN,13.4,1.2,1.9
Paris Bass,PHO,13.9,0,0
Charles Bassey,PHI,21.5,0.4,0.3
Keita Bates-Diop,SAS,12.4,0.6,1
Nicolas Batum,LAC,13.5,1.6,2.1
Kent Bazemore,LAL,6,-0.4,0.5
Darius Bazley,OKC,12.6,-0.5,2.2
Bradley Beal,WAS,17.5,0.6,0.7
Malik Beasley,MIN,11.9,1.7,1.2
Jordan Bell,CHI,29.9,0,0
DeAndre' Bembry,TOT,11.9,1.1,1.1
DeAndre' Bembry,BRK,12.4,1.1,1.1
DeAndre' Bembry,MIL,4.8,0,0.1
Dāvis Bertāns,TOT,9.4,0.2,0.7
Dāvis Bertāns,WAS,8.3,0,0.3
Dāvis Bertāns,DAL,11.2,0.2,0.4
Patrick Beverley,MIN,14.8,2.3,1.7
Saddiq Bey,DET,14,2.4,1.6
Khem Birch,TOR,13.2,1.5,1.1
Goga Bitadze,IND,18,1.3,0.6
Bismack Biyombo,PHO,17.3,0.9,0.9
Nemanja Bjelica,GSW,14.2,1,2.1
Eric Bledsoe,LAC,12.5,-0.5,1.8
Keljin Blevins,POR,4.8,-0.6,0.1
Bogdan Bogdanović,ATL,15.4,2.5,1.2
Bojan Bogdanović,UTA,15.7,3.6,1.6
Bol Bol,DEN,13.5,0,0.1
Leandro Bolmaro,MIN,5.4,-0.1,0.2
Isaac Bonga,TOR,8.7,-0.1,0.1
Devin Booker,PHO,21.3,4.3,3.3
Brandon Boston Jr.,LAC,11.2,-0.5,0.9
Chris Boucher,TOR,17.9,3.5,2.4
James Bouknight,CHO,10.1,-0.1,0.1
Avery Bradley,LAL,7.8,0.3,0.9
Tony Bradley,CHI,14.9,0.6,0.7
Ignas Brazdeikis,ORL,10.2,0.2,0.3
Mikal Bridges,PHO,14.4,5.2,3.7
Miles Bridges,CHO,17.9,5,2.3
Oshae Brissett,IND,12.9,1.4,0.9
Malcolm Brogdon,IND,18,2.2,0.4
Armoni Brooks,TOT,8.4,-0.1,0.4
Armoni Brooks,HOU,8.4,-0.2,0.2
Armoni Brooks,TOR,8.6,0,0.2
Dillon Brooks,MEM,15.5,0.7,0.9
Bruce Brown,BRK,15,2.8,2
Charlie Brown Jr.,TOT,6.5,-0.2,0.2
Charlie Brown Jr.,DAL,5.1,-0.1,0
Charlie Brown Jr.,PHI,6.6,-0.1,0.2
Chaundee Brown Jr.,TOT,6.4,0,0
Chaundee Brown Jr.,LAL,-8.7,-0.1,0
Chaundee Brown Jr.,ATL,10.3,0.1,0
Greg Brown III,POR,11,-0.1,0.5
Jaylen Brown,BOS,18.9,2.3,3.4
Moses Brown,TOT,18.5,0.5,0.7
Moses Brown,DAL,15.5,0.1,0.3
Moses Brown,CLE,21.4,0.4,0.3
Sterling Brown,DAL,8.4,-0.1,0.9
Troy Brown Jr.,CHI,10.1,0.5,0.9
Jalen Brunson,DAL,17.1,4.9,2.7
Thomas Bryant,WAS,16.6,0.7,0.4
Shaq Buchanan,MEM,0.6,-0.1,0
Reggie Bullock,DAL,9.2,1.2,2
Trey Burke,DAL,10,-0.4,0.4
Alec Burks,NYK,13.7,3.2,2.9
Jared Butler,UTA,12.1,0,0.5
Jimmy Butler,MIA,23.6,6.2,2.9
Devontae Cacok,SAS,20.2,0.3,0.3
Kentavious Caldwell-Pope,WAS,12.6,1.4,1.4
Facundo Campazzo,DEN,11.1,0.6,1.3
Vlatko Čančar,DEN,12.7,0.3,0.1
Devin Cannady,ORL,8.6,0,0.1
Clint Capela,ATL,21.4,5.6,2.7
Vernon Carey Jr.,TOT,15.8,0,0
Vernon Carey Jr.,CHO,17.2,0,0
Vernon Carey Jr.,WAS,15,0,0
Jevon Carter,TOT,9.6,0.5,0.7
Jevon Carter,BRK,6.5,-0.4,0.4
Jevon Carter,MIL,14.4,0.9,0.3
Wendell Carter Jr.,ORL,18.4,2.6,2.4
Alex Caruso,CHI,11.7,0.7,1.2
Willie Cauley-Stein,TOT,8.3,0,0.3
